person_id,record_date,age,experience_years,unit_id,role,role_difficulty_score,duty_hours,overtime_hours,shift_type,night_shift,consecutive_work_days,consecutive_night_shifts,leave_requested,leave_days,leave_type,leave_approved,days_since_last_leave,deployment_status,deployment_duration_days,recent_deployment,transfer_event,days_since_transfer,deployment_hardship_score,sleep_hours,sleep_quality,mood_score,stress_score,fatigue_score,help_requested,avg_duty_hours_30d,night_shifts_30d,leave_days_30d,leave_requests_30d,leave_frequency,duty_hours_deviation,sleep_deviation,stress_deviation,mood_deviation,leave_deviation,night_shift_deviation,workload_deviation,wellness_trend,stress_trend,sleep_trend,risk_probability,risk_score,risk_category,contributing_factors,factor_impacts,factor_directions,recommendations,recommendation_reasons,model_version,prediction_timestamp,welfare_concern_30d
P0002,2026-01-01,34,11,UNIT-09,Command Officer,85,9.1,0.1,Day,0,2,0,0,0,None,0,46,Not Deployed,0,0,0,115,14.9,7.4,7,7,5,3,0,9.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stable,Stable,Stable,0.506,51,MODERATE,Leave gap | Role difficulty | Average duty hours,32 | 11 | 7,Increasing | High | Increasing,Consider leave/recovery review,Prolonged gap since last leave taken,synthetic-model-v1,2026-01-02 03:00:00,1
P0002,2026-01-08,34,11,UNIT-09,Command Officer,85,9.9,1.1,Day,0,1,0,0,0,None,0,53,Not Deployed,0,0,0,122,12.0,6.0,6,7,6,4,0,9.5,0,0,0,0.0,0.8,-1.4,1.0,0.0,7.0,0.0,1.8,Declining,Declining,Declining,0.577,58,HIGH,Leave gap | Sleep decline | Average duty hours | Role difficulty,23 | 16 | 13 | 6,Increasing | Declining | Increasing | High,Workload review | Consider leave/recovery review | Wellness check-in focused on sleep and recovery,Duty hours elevated relative to personal baseline | Prolonged gap since last leave taken | Sleep duration/quality declining from baseline,synthetic-model-v1,2026-01-09 05:00:00,1
P0002,2026-01-15,34,11,UNIT-09,Command Officer,85,9.2,1.0,Day,0,2,0,1,3,Casual,1,7,Not Deployed,0,0,0,129,13.4,7.1,6,7,6,4,0,9.4,0,3,1,0.33,-0.3,0.4,0.5,0.0,-42.5,0.0,0.1,Declining,Declining,Declining,0.454,45,MODERATE,Role difficulty | Average duty hours,26 | 19,High | Increasing,Routine monitoring,No significant risk indicators detected this period,synthetic-model-v1,2026-01-16 02:00:00,1
P0002,2026-01-22,34,11,UNIT-09,Command Officer,85,10.0,0.6,Day,0,2,0,0,0,None,0,14,Not Deployed,0,0,0,136,8.5,6.7,6,7,6,4,0,9.55,0,3,1,0.25,0.6,-0.13,0.33,0.0,-21.33,0.0,0.47,Stable,Stable,Improving,0.429,43,MODERATE,Average duty hours | Role difficulty,29 | 14,Increasing | High,Workload review,Duty hours elevated relative to personal baseline,synthetic-model-v1,2026-01-23 02:00:00,1
P0002,2026-01-29,34,11,UNIT-09,Command Officer,85,8.6,0.9,Day,0,1,0,0,0,None,0,21,Not Deployed,0,0,0,143,10.1,6.9,6,6,7,4,1,9.43,0,3,1,0.25,-0.95,0.1,1.25,-1.0,-9.0,0.0,-0.75,Declining,Declining,Stable,0.527,53,MODERATE,Mood decline | Role difficulty | Average duty hours,26 | 24 | 3,Declining | High | Increasing,Prioritize welfare officer follow-up,Person actively requested help,synthetic-model-v1,2026-01-30 01:00:00,0
P0002,2026-02-05,34,11,UNIT-09,Command Officer,85,9.8,0.0,Day,0,1,0,0,0,None,0,28,Not Deployed,0,0,0,150,9.4,5.7,5,7,7,5,0,9.4,0,3,1,0.25,0.44,-1.12,1.0,0.2,-0.2,0.0,-0.3,Declining,Declining,Declining,0.521,52,MODERATE,Sleep decline | Average duty hours | Role difficulty | Leave gap,22 | 16 | 9 | 5,Declining | Increasing | High | Increasing,Workload review | Wellness check-in focused on sleep and recovery,Duty hours elevated relative to personal baseline | Sleep duration/quality declining from baseline,synthetic-model-v1,2026-02-06 03:00:00,0
P0002,2026-02-12,34,11,UNIT-09,Command Officer,85,9.6,0.0,Day,0,1,0,0,0,None,0,35,Not Deployed,0,0,0,157,9.4,6.4,5,7,6,4,0,9.5,0,0,0,0.0,0.17,-0.23,-0.17,0.17,6.83,0.0,-0.45,Stable,Improving,Declining,0.505,50,MODERATE,Leave gap | Average duty hours | Role difficulty | Sleep decline,16 | 16 | 12 | 6,Increasing | Increasing | High | Declining,Workload review,Duty hours elevated relative to personal baseline,synthetic-model-v1,2026-02-13 05:00:00,0
P0002,2026-02-19,34,11,UNIT-09,Command Officer,85,8.8,0.0,Day,0,2,0,0,0,None,0,42,Not Deployed,0,0,0,164,5.6,7.1,6,6,7,4,0,9.2,0,0,0,0.0,-0.66,0.5,0.86,-0.86,12.86,0.0,-1.19,Improving,Stable,Improving,0.408,41,MODERATE,Leave gap | Role difficulty | Mood decline | Average duty hours,21 | 9 | 8 | 3,Increasing | High | Declining | Increasing,Consider leave/recovery review,Prolonged gap since last leave taken,synthetic-model-v1,2026-02-20 05:00:00,0
P0002,2026-02-26,34,11,UNIT-09,Command Officer,85,9.2,1.5,Day,0,3,0,1,4,Casual,1,7,Not Deployed,0,0,0,171,6.4,6.5,7,7,6,4,0,9.35,0,4,1,0.25,-0.18,-0.16,-0.25,0.25,-23.75,0.0,0.86,Improving,Stable,Stable,0.556,56,HIGH,Role difficulty | Average duty hours,32 | 24,High | Increasing,Routine monitoring,No significant risk indicators detected this period,synthetic-model-v1,2026-02-27 02:00:00,1
P0002,2026-03-05,34,11,UNIT-09,Command Officer,85,9.4,0.4,Day,0,3,0,0,0,None,0,14,Not Deployed,0,0,0,178,13.8,6.0,6,6,7,5,0,9.25,0,4,1,0.25,0.04,-0.64,0.78,-0.78,-14.11,0.0,-0.13,Declining,Stable,Declining,0.525,52,MODERATE,Sleep decline | Role difficulty | Average duty hours | Mood decline,18 | 12 | 12 | 10,Declining | High | Increasing | Declining,Wellness check-in focused on sleep and recovery,Sleep duration/quality declining from baseline,synthetic-model-v1,2026-03-06 03:00:00,0
P0003,2026-01-01,43,12,UNIT-09,Field Officer,55,7.2,0.7,Rotating,1,5,1,0,0,None,0,46,Not Deployed,0,0,0,369,6.6,7.6,8,6,5,4,0,7.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stable,Stable,Stable,0.494,49,MODERATE,Leave gap,49,Increasing,Consider leave/recovery review,Prolonged gap since last leave taken,synthetic-model-v1,2026-01-02 04:00:00,0
P0003,2026-01-08,43,12,UNIT-09,Field Officer,55,9.4,2.0,Rotating,0,4,0,0,0,None,0,53,Not Deployed,0,0,0,376,4.9,7.3,6,7,4,3,0,8.3,1,0,0,0.0,2.2,-0.3,-1.0,1.0,7.0,-1.0,3.5,Stable,Improving,Stable,0.548,55,HIGH,Leave gap | Average duty hours | Sleep decline,29 | 21 | 4,Increasing | Increasing | Declining,Workload review | Consider leave/recovery review,Duty hours elevated relative to personal baseline | Prolonged gap since last leave taken,synthetic-model-v1,2026-01-09 01:00:00,0
P0003,2026-01-15,43,12,UNIT-09,Field Officer,55,9.6,0.0,Rotating,0,3,0,0,0,None,0,60,Not Deployed,0,0,0,383,8.6,6.8,8,7,4,3,0,8.73,1,0,0,0.0,1.3,-0.65,-0.5,0.5,10.5,-0.5,-0.05,Improving,Improving,Declining,0.498,50,MODERATE,Leave gap | Average duty hours | Sleep decline,29 | 14 | 7,Increasing | Increasing | Declining,Workload review | Consider leave/recovery review | Wellness check-in focused on sleep and recovery,Duty hours elevated relative to personal baseline | Prolonged gap since last leave taken | Sleep duration/quality declining from baseline,synthetic-model-v1,2026-01-16 04:00:00,0
P0003,2026-01-22,43,12,UNIT-09,Field Officer,55,8.7,0.1,Rotating,0,4,0,0,0,None,0,67,Not Deployed,0,0,0,390,8.5,6.9,9,7,5,4,0,8.73,1,0,0,0.0,-0.03,-0.33,0.67,0.33,14.0,-0.33,-0.83,Improving,Declining,Declining,0.567,57,HIGH,Leave gap | Sleep decline | Average duty hours,50 | 5 | 2,Increasing | Declining | Increasing,Consider leave/recovery review | Wellness check-in focused on sleep and recovery,Prolonged gap since last leave taken | Sleep duration/quality declining from baseline,synthetic-model-v1,2026-01-23 01:00:00,0
P0003,2026-01-29,43,12,UNIT-09,Field Officer,55,6.8,0.7,Day,0,5,0,0,0,None,0,74,Not Deployed,0,0,1,0,9.4,6.9,6,6,5,3,0,8.62,0,0,0,0.0,-1.93,-0.25,0.5,-0.75,17.5,-0.25,-1.92,Declining,Declining,Stable,0.309,31,MODERATE,Leave gap | Recent transfer | Mood decline | Sleep decline,22 | 4 | 3 | 2,Increasing | Increasing | Declining | Declining,Consider leave/recovery review,Prolonged gap since last leave taken,synthetic-model-v1,2026-01-30 01:00:00,0
P0003,2026-02-05,43,12,UNIT-09,Field Officer,55,6.7,0.5,Day,0,4,0,0,0,None,0,81,Not Deployed,0,0,0,7,9.4,7.4,9,8,5,3,0,7.95,0,0,0,0.0,-1.64,0.3,0.4,1.4,21.0,-0.2,-1.84,Improving,Stable,Improving,0.44,44,MODERATE,Leave gap,44,Increasing,Consider leave/recovery review,Prolonged gap since last leave taken,synthetic-model-v1,2026-02-06 01:00:00,1
P0003,2026-02-12,43,12,UNIT-09,Field Officer,55,7.9,1.4,Day,0,4,0,0,0,None,0,88,Not Deployed,0,0,0,14,9.7,7.6,6,6,6,4,0,7.52,0,0,0,0.0,-0.17,0.45,1.33,-0.83,24.5,-0.17,0.57,Declining,Declining,Improving,0.644,64,HIGH,Leave gap | Mood decline,58 | 6,Increasing | Declining,Consider leave/recovery review,Prolonged gap since last leave taken,synthetic-model-v1,2026-02-13 05:00:00,0
P0003,2026-02-19,43,12,UNIT-09,Field Officer,55,8.0,0.1,Day,0,4,0,0,0,None,0,95,Not Deployed,0,0,0,21,10.7,7.2,8,5,6,4,0,7.35,0,0,0,0.0,-0.04,-0.01,1.14,-1.71,28.0,-0.14,-0.71,Declining,Declining,Stable,0.605,60,HIGH,Leave gap | Mood decline,51 | 10,Increasing | Declining,Consider leave/recovery review,Prolonged gap since last leave taken,synthetic-model-v1,2026-02-20 04:00:00,0
P0003,2026-02-26,43,12,UNIT-09,Field Officer,55,10.0,0.5,Day,0,5,0,0,0,None,0,102,Not Deployed,0,0,0,28,12.3,6.9,6,6,6,3,0,8.15,0,0,0,0.0,1.96,-0.31,1.0,-0.5,31.5,-0.12,1.78,Improving,Stable,Declining,0.743,74,HIGH,Leave gap | Average duty hours | Sleep decline | Mood decline,53 | 16 | 3 | 3,Increasing | Increasing | Declining | Declining,Workload review | Consider leave/recovery review | Wellness check-in focused on sleep and recovery,Duty hours elevated relative to personal baseline | Prolonged gap since last leave taken | Sleep duration/quality declining from baseline,synthetic-model-v1,2026-02-27 04:00:00,0
P0003,2026-03-05,43,12,UNIT-09,Field Officer,55,8.1,0.0,Day,0,4,0,0,0,None,0,109,Not Deployed,0,0,0,35,9.5,7.4,5,6,6,5,0,8.5,0,0,0,0.0,-0.16,0.22,0.89,-0.44,35.0,-0.11,-0.82,Declining,Stable,Stable,0.732,73,HIGH,Leave gap | Mood decline,70 | 3,Increasing | Declining,Consider leave/recovery review,Prolonged gap since last leave taken,synthetic-model-v1,2026-03-06 04:00:00,0
P0004,2026-01-01,27,5,UNIT-10,Junior Officer,40,8.1,0.0,Rotating,0,3,0,0,0,None,0,35,Not Deployed,0,0,0,30,12.4,6.8,6,8,4,3,0,8.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stable,Stable,Stable,0.412,41,MODERATE,Leave gap,41,Increasing,Routine monitoring,No significant risk indicators detected this period,synthetic-model-v1,2026-01-02 04:00:00,0
P0004,2026-01-08,27,5,UNIT-10,Junior Officer,40,8.8,0.0,Day,0,4,0,0,0,None,0,42,Not Deployed,0,0,0,37,14.6,6.8,8,7,4,2,0,8.45,0,0,0,0.0,0.7,0.0,0.0,-1.0,7.0,0.0,0.7,Improving,Stable,Stable,0.37,37,MODERATE,Leave gap | Mood decline | Average duty hours,20 | 9 | 8,Increasing | Declining | Increasing,Consider leave/recovery review,Prolonged gap since last leave taken,synthetic-model-v1,2026-01-09 03:00:00,0
P0004,2026-01-15,27,5,UNIT-10,Junior Officer,40,9.6,0.0,Day,0,3,0,1,4,Casual,1,7,Not Deployed,0,0,0,44,14.9,6.5,6,7,4,2,0,8.83,0,4,1,0.33,1.15,-0.3,0.0,-0.5,-31.5,0.0,1.15,Stable,Stable,Stable,0.318,32,MODERATE,Average duty hours | Sleep decline | Mood decline,21 | 5 | 5,Increasing | Declining | Declining,Workload review,Duty hours elevated relative to personal baseline,synthetic-model-v1,2026-01-16 05:00:00,0
P0004,2026-01-22,27,5,UNIT-10,Junior Officer,40,9.7,1.3,Day,0,4,0,0,0,None,0,14,Not Deployed,0,0,0,51,14.1,6.9,9,7,3,2,0,9.05,0,4,1,0.25,0.87,0.2,-1.0,-0.33,-14.0,0.0,2.17,Improving,Improving,Stable,0.311,31,MODERATE,Average duty hours | Mood decline,26 | 5,Increasing | Declining,Workload review,Duty hours elevated relative to personal baseline,synthetic-model-v1,2026-01-23 01:00:00,1
P0004,2026-01-29,27,5,UNIT-10,Junior Officer,40,10.3,0.6,Day,0,4,0,0,0,None,0,21,Not Deployed,0,0,0,58,12.9,6.8,7,8,3,2,0,9.6,0,4,1,0.25,1.25,0.05,-0.75,0.75,-3.5,0.0,1.53,Improving,Improving,Stable,0.323,32,MODERATE,Average duty hours,32,Increasing,Workload review,Duty hours elevated relative to personal baseline,synthetic-model-v1,2026-01-30 03:00:00,1
P0004,2026-02-05,27,5,UNIT-10,Junior Officer,40,10.5,0.4,Day,0,3,0,0,0,None,0,28,Not Deployed,0,0,0,65,13.1,6.8,7,7,4,3,0,10.02,0,4,1,0.25,1.2,0.04,0.4,-0.4,4.2,0.0,1.22,Declining,Declining,Stable,0.362,36,MODERATE,Average duty hours | Leave gap | Mood decline,28 | 5 | 4,Increasing | Increasing | Declining,Workload review,Duty hours elevated relative to personal baseline,synthetic-model-v1,2026-02-06 04:00:00,1
P0004,2026-02-12,27,5,UNIT-10,Junior Officer,40,11.5,0.7,Day,0,3,0,1,3,Casual,1,7,Not Deployed,0,0,0,72,12.6,7.2,6,8,4,3,0,10.5,0,3,1,0.25,2.0,0.43,0.33,0.67,-17.5,0.0,2.32,Declining,Declining,Improving,0.353,35,MODERATE,Average duty hours,35,Increasing,Workload review,Duty hours elevated relative to personal baseline,synthetic-model-v1,2026-02-13 05:00:00,1
P0004,2026-02-19,27,5,UNIT-10,Junior Officer,40,9.9,2.0,Day,0,3,0,0,0,None,0,14,Not Deployed,0,0,0,79,9.4,6.6,6,7,5,2,0,10.55,0,3,1,0.25,0.11,-0.23,1.29,-0.43,-8.0,0.0,1.69,Stable,Declining,Stable,0.43,43,MODERATE,Average duty hours | Sleep decline | Mood decline,26 | 9 | 8,Increasing | Declining | Declining,Workload review,Duty hours elevated relative to personal baseline,synthetic-model-v1,2026-02-20 02:00:00,0
P0004,2026-02-26,27,5,UNIT-10,Junior Officer,40,9.6,0.4,Day,0,4,0,0,0,None,0,21,Not Deployed,0,0,0,86,6.9,6.6,6,7,5,3,0,10.38,0,3,1,0.25,-0.2,-0.2,1.12,-0.38,0.0,0.0,-0.43,Declining,Declining,Declining,0.562,56,HIGH,Average duty hours | Mood decline,42 | 14,Increasing | Declining,Workload review,Duty hours elevated relative to personal baseline,synthetic-model-v1,2026-02-27 01:00:00,0
P0004,2026-03-05,27,5,UNIT-10,Junior Officer,40,10.8,2.6,Day,0,3,0,0,0,None,0,28,Not Deployed,0,0,0,93,9.2,6.4,7,6,5,4,0,10.45,0,3,1,0.25,1.02,-0.38,1.0,-1.33,7.0,0.0,3.02,Declining,Stable,Stable,0.553,55,HIGH,Average duty hours | Mood decline | Sleep decline | Leave gap,31 | 13 | 6 | 5,Increasing | Declining | Declining | Increasing,Workload review | Wellness check-in focused on sleep and recovery,Duty hours elevated relative to personal baseline | Sleep duration/quality declining from baseline,synthetic-model-v1,2026-03-06 04:00:00,0
P0005,2026-01-01,38,8,UNIT-06,Senior Officer,70,9.1,0.2,Day,0,4,0,1,4,Earned,1,7,Not Deployed,0,0,0,191,10.2,6.9,6,7,5,3,0,9.1,0,4,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stable,Stable,Stable,0.4,40,MODERATE,Average duty hours | Role difficulty,25 | 15,Increasing | High,Routine monitoring,No significant risk indicators detected this period,synthetic-model-v1,2026-01-02 01:00:00,0
P0005,2026-01-08,38,8,UNIT-06,Senior Officer,70,7.3,0.4,Day,0,4,0,0,0,None,0,14,Not Deployed,0,0,0,198,6.8,7.5,6,6,6,3,0,8.2,0,4,1,0.5,-1.8,0.6,1.0,-1.0,7.0,0.0,-1.6,Declining,Declining,Improving,0.547,55,HIGH,Mood decline | Role difficulty,40 | 15,Declining | High,Routine monitoring,No significant risk indicators detected this period,synthetic-model-v1,2026-01-09 04:00:00,1
P0005,2026-01-15,38,8,UNIT-06,Senior Officer,70,9.5,0.0,Day,0,3,0,0,0,None,0,21,Deployed,7,1,0,205,43.5,7.4,6,5,7,4,0,8.63,0,4,1,0.33,1.3,0.2,1.5,-1.5,10.5,0.0,1.0,Declining,Declining,Improving,0.614,61,HIGH,Average duty hours | Mood decline | Recent deployment | Deployment hardship | Role difficulty,20 | 15 | 15 | 8 | 4,Increasing | Declining | Increasing | High | High,Workload review,Duty hours elevated relative to personal baseline,synthetic-model-v1,2026-01-16 04:00:00,0
P0005,2026-01-22,38,8,UNIT-06,Senior Officer,70,9.0,1.3,Day,0,2,0,0,0,None,0,28,Deployed,14,0,0,212,58.6,6.9,7,7,6,3,0,8.72,0,4,1,0.25,0.37,-0.37,0.0,1.0,14.0,0.0,1.47,Improving,Stable,Declining,0.522,52,MODERATE,Deployment hardship | Average duty hours | Sleep decline | Leave gap | Role difficulty,23 | 10 | 7 | 7 | 5,High | Increasing | Declining | Increasing | High,Wellness check-in focused on sleep and recovery | Review deployment welfare support,Sleep duration/quality declining from baseline | High deployment hardship score,synthetic-model-v1,2026-01-23 04:00:00,1
P0005,2026-01-29,38,8,UNIT-06,Senior Officer,70,8.8,0.0,Day,0,2,0,0,0,None,0,35,Deployed,21,0,0,219,54.8,7.2,7,7,7,4,0,8.65,0,0,0,0.0,0.08,0.02,1.0,0.75,17.5,0.0,-0.4,Improving,Stable,Stable,0.563,56,HIGH,Deployment hardship | Leave gap | Role difficulty | Average duty hours,25 | 20 | 6 | 6,High | Increasing | High | Increasing,Routine monitoring,No significant risk indicators detected this period,synthetic-model-v1,2026-01-30 02:00:00,0
P0005,2026-02-05,38,8,UNIT-06,Senior Officer,70,8.5,1.0,Day,0,1,0,0,0,None,0,42,Deployed,28,0,0,226,49.7,6.6,8,7,6,4,0,8.95,0,0,0,0.0,-0.24,-0.58,-0.2,0.6,21.0,0.0,0.38,Stable,Stable,Declining,0.536,54,MODERATE,Leave gap | Deployment hardship | Sleep decline | Role difficulty,25 | 14 | 10 | 4,Increasing | High | Declining | High,Consider leave/recovery review | Wellness check-in focused on sleep and recovery,Prolonged gap since last leave taken | Sleep duration/quality declining from baseline,synthetic-model-v1,2026-02-06 01:00:00,0
P0005,2026-02-12,38,8,UNIT-06,Senior Officer,70,9.1,0.0,Day,0,1,0,0,0,None,0,49,Not Deployed,0,0,0,233,35.1,7.4,5,6,7,5,0,8.85,0,0,0,0.0,0.4,0.32,0.83,-0.5,24.5,0.0,-0.08,Declining,Stable,Stable,0.656,66,HIGH,Leave gap | Average duty hours | Mood decline | Role difficulty | Deployment hardship,39 | 12 | 6 | 5 | 4,Increasing | Increasing | Declining | High | High,Consider leave/recovery review,Prolonged gap since last leave taken,synthetic-model-v1,2026-02-13 04:00:00,0
P0005,2026-02-19,38,8,UNIT-06,Senior Officer,70,8.7,0.3,Day,0,1,0,0,0,None,0,56,Not Deployed,0,0,0,240,25.9,7.2,6,5,7,4,0,8.77,0,0,0,0.0,-0.06,0.07,0.71,-1.43,28.0,0.0,-0.17,Declining,Declining,Improving,0.581,58,HIGH,Leave gap | Mood decline | Role difficulty | Average duty hours,38 | 14 | 4 | 2,Increasing | Declining | High | Increasing,Consider leave/recovery review,Prolonged gap since last leave taken,synthetic-model-v1,2026-02-20 02:00:00,0
P0005,2026-02-26,38,8,UNIT-06,Senior Officer,70,7.7,0.4,Day,0,2,0,0,0,None,0,63,Not Deployed,0,0,0,247,21.5,7.3,7,6,7,4,0,8.5,0,0,0,0.0,-1.05,0.16,0.62,-0.25,31.5,0.0,-1.05,Improving,Stable,Stable,0.51,51,MODERATE,Leave gap | Role difficulty,47 | 4,Increasing | High,Consider leave/recovery review,Prolonged gap since last leave taken,synthetic-model-v1,2026-02-27 02:00:00,0
P0005,2026-03-05,38,8,UNIT-06,Senior Officer,70,9.4,2.1,Day,0,1,0,0,0,None,0,70,Not Deployed,0,0,0,254,19.5,7.0,5,6,7,5,0,8.72,0,0,0,0.0,0.77,-0.16,0.56,-0.22,35.0,0.0,2.47,Declining,Stable,Stable,0.561,56,HIGH,Leave gap | Average duty hours | Role difficulty,42 | 11 | 3,Increasing | Increasing | High,Consider leave/recovery review,Prolonged gap since last leave taken,synthetic-model-v1,2026-03-06 01:00:00,0
